Time,Type,Instrument,Product,Qty.,Avg. price,Status
12/9/25 10:33:40,SELL,NIFTY2591625250PE,NRML,1500/1500,101,COMPLETE
12/9/25 10:03:40,BUY,NIFTY2591625250PE,NRML,1500/1500,83,COMPLETE
2025-09-15 14:33:40,SELL,NIFTY2591625250PE,NRML,1500/1500,85,COMPLETE
2025-09-15 14:23:40,BUY,NIFTY2591625250PE,NRML,1500/1500,75,COMPLETE
2025-09-16 14:27:52,SELL,NIFTY2591625250PE,NRML,1500/1500,48.71,COMPLETE
2025-09-16 14:27:40,BUY,NIFTY2591625250PE,NRML,1500/1500,50.27,COMPLETE
2025-09-17 13:33:52,SELL,NIFTY2592325250CE,NRML,1800/1800,129.5,COMPLETE
2025-09-17 13:27:52,BUY,NIFTY2592325250CE,NRML,1800/1800,133,COMPLETE
2025-09-18 11:20:52,SELL,NIFTY2592325250CE,NRML,1800/1800,158,COMPLETE
2025-09-18 11:14:32,BUY,NIFTY2592325250CE,NRML,1800/1800,114,COMPLETE
2025-09-19 13:21:52,SELL,NIFTY2592325250CE,NRML,1500/1500,98,COMPLETE
2025-09-19 13:17:52,BUY,NIFTY2592325250CE,NRML,1500/1500,101,COMPLETE
2025-09-20 14:09:52,SELL,NIFTY2592325250CE,NRML,1500/1500,92.4,COMPLETE
2025-09-20 13:02:52,BUY,NIFTY2592325250CE,NRML,1500/1500,201.1,COMPLETE
2025-09-21 14:09:52,SELL,RELIANCE,NRML,100/100,1444,COMPLETE
2025-09-21 14:09:52,BUY,RELIANCE,NRML,100/100,1411,COMPLETE
